id,name,count
1,Action,8590
2,Adventure,3804
5,Avant Garde,64
46,Award Winning,434
28,Boys Love,9252
4,Comedy,13708
8,Drama,8994
10,Fantasy,10379
26,Girls Love,1554
47,Gourmet,365
14,Horror,1658
7,Mystery,2363
22,Romance,16416
24,Sci-Fi,3146
36,Slice of Life,5152
30,Sports,1073
37,Supernatural,7230
45,Suspense,444
9,Ecchi,3499
49,Erotica,8589
12,Hentai,10971
50,Adult Cast,288
51,Anthropomorphic,137
52,CGDCT,119
53,Childcare,139
54,Combat Sports,153
44,Crossdressing,574
55,Delinquents,144
39,Detective,361
56,Educational,34
57,Gag Humor,154
58,Gore,138
35,Harem,2203
59,High Stakes Game,66
13,Historical,2326
60,Idols (Female),39
61,Idols (Male),37
62,Isekai,812
63,Iyashikei,126
64,Love Polygon,211
65,Magical Sex Shift,211
66,Mahou Shoujo,124
17,Martial Arts,641
18,Mecha,688
67,Medical,136
68,Memoir,163
38,Military,659
19,Music,499
6,Mythology,748
69,Organized Crime,118
70,Otaku Culture,70
20,Parody,307
71,Performing Arts,102
72,Pets,113
40,Psychological,1482
3,Racing,75
73,Reincarnation,540
74,Reverse Harem,122
75,Romantic Subtext,194
21,Samurai,256
23,School,10437
76,Showbiz,83
29,Space,234
11,Strategy Game,292
31,Super Power,589
77,Survival,99
78,Team Sports,396
79,Time Travel,395
32,Vampire,491
80,Video Game,231
81,Villainess,225
82,Visual Arts,58
48,Workplace,199
42,Josei,3822
15,Kids,246
41,Seinen,7421
25,Shoujo,8027
27,Shounen,6067
